"Year","Unit","Fleet","Estimate_metric_tons","SD_log","SD_mt"
1982,1,1,2391519.87114116,0.0897527870299908,214645.573672523
1983,1,1,5743675.09601506,0.0874247984451262,502139.637603408
1984,1,1,4037772.29822699,0.0958331495182662,386952.4363767
1985,1,1,4903442.32262571,0.110876678805068,543677.39944495
1986,1,1,4323622.09179851,0.0906547080138274,391956.698294128
1987,1,1,4848391.81238872,0.0932443671227365,452085.226109244
1988,1,1,6494201.03484434,0.0980321881871118,636640.737972796
1989,1,1,5765369.97975654,0.0893484139754042,515126.663672655
1990,1,1,6362284.88018582,0.109525881155997,696834.857667829
1991,1,1,4530969.24803677,0.0917557569098026,415742.512888653
1992,1,1,4203666.54453143,0.0930333375112996,391081.128422351
1993,1,1,5014037.97732475,0.0853540141619844,427968.268525305
1994,1,1,4662237.04321061,0.0900413139249442,419793.94920023
1995,1,1,4099801.35365437,0.101959043446227,418011.824338148
1996,1,1,2672990.36337058,0.0793817176000871,212186.566172837
1997,1,1,3040906.86308324,0.0851487241281497,258929.339584072
1998,1,1,2335756.75366153,0.0868194158850558,202789.037002469
1999,1,1,3274279.68124793,0.0969944256590268,317586.877129664
2000,1,1,4512360.66936239,0.0859378815138322,387782.716551342
2001,1,1,3857093.54867397,0.0848446922131588,327253.914974603
2002,1,1,4240924.02203825,0.07630658928024,323610.447518376
2003,1,1,6840985.73428674,0.0887871580375127,607391.681522486
2004,1,1,3595987.33130144,0.0796879550868976,286556.876949802
2005,1,1,4270665.11835537,0.0861360355551313,367858.162478717
2006,1,1,2702637.98998797,0.0879843112320622,237789.742058697
2007,1,1,3810936.24416079,0.106298816262255,405098.011605216
2008,1,1,2605630.31844649,0.102323114839456,266616.210303569
2009,1,1,1863566.14695837,0.116914922085867,217878.690873497
2010,1,1,3263266.17896543,0.103546873413695,337901.009948526
2011,1,1,2919659.92016873,0.0907503338396997,264960.112453703
2012,1,1,3125149.13159234,0.0822198632081555,256949.334104608
2013,1,1,4185026.95529254,0.0903172140038604,377979.975133081
2014,1,1,7295637.92611931,0.0782921434962729,571191.131408584
